original	status	job
https://agisoft.freshdesk.com/support/solutions/articles/31000162477	SUBMITTED	spn2-cfc64d51791a2861bae90619d09e4d325a000f77
https://agisoft.freshdesk.com/support/solutions/articles/31000163268	SUBMITTED	spn2-3e95a26fa8a33978ad6fe6ec26b56013f0c8c852
https://www.agisoft.com/forum/index.php?topic=12421.msg55331#msg55331	SUBMITTED	spn2-45a8399fb9c6fdf28ef9fa5103ed27eba8b4acf4
https://www.agisoft.com/forum/index.php?topic=12581.0	SUBMITTED	spn2-59e962bf38a974ab4671cadcb275212338e8d9fd
https://www.agisoft.com/forum/index.php?topic=14821.msg66108#msg66108	SUBMITTED	spn2-9789bfd1e42c8013b275e657cd06763523d17087
https://www.agisoft.com/forum/index.php?topic=1505.msg7674#msg7674	SUBMITTED	spn2-db6129e784b678b2d8dac5e4033e38a247478b13
https://www.agisoft.com/forum/index.php?topic=15490.0	SUBMITTED	spn2-9cc3d57fc71317243fc2429560c74b7db972d3db
https://www.agisoft.com/forum/index.php?topic=16909.0	SUBMITTED	spn2-9d655f1c6eec8fed47f51e8946ef9fe8d41239ff
https://www.agisoft.com/forum/index.php?topic=17352.0	SUBMITTED	spn2-56209875e7a2a185911c48cab32880547a010f6b
https://www.agisoft.com/forum/index.php?topic=17357.0	SUBMITTED	spn2-a2d2e17c078a2cc91ced70df5df82513667b1c76
https://www.agisoft.com/forum/index.php?topic=17361.msg74418#msg74418	SUBMITTED	spn2-859b1bcd20cbe0d73a45401b2d7fd6acae6a4e21
https://www.agisoft.com/forum/index.php?topic=17361.msg74558#msg74558	SUBMITTED	spn2-8c1593a0cbc243dbeae0a8157d4f09acbf21e4c0
https://www.agisoft.com/forum/index.php?topic=2314.msg12352#msg12352	SUBMITTED	spn2-877beaf4e05034af2b225bdb067b5b4e852834c3
https://www.agisoft.com/forum/index.php?topic=2587.0	SUBMITTED	spn2-de01b4d7116e10ef1bf64a460e85cc475fef7bed
https://www.agisoft.com/forum/index.php?topic=4745.msg24131#msg24131	SUBMITTED	spn2-81fac0eb024b4513b70de7e82d333f3c9ed8ed91
https://www.agisoft.com/forum/index.php?topic=4947.0	SUBMITTED	spn2-c594ccc62ed81ece859b0fa8faf77d300460921a
https://www.agisoft.com/forum/index.php?topic=5037.msg25071#msg25071	SUBMITTED	spn2-f44bd86954f2a6c620a58c327615f87f6e085c1f
https://www.agisoft.com/forum/index.php?topic=5381.msg26475#msg26475	SUBMITTED	spn2-267fecdee7cf0d725febb5b5ba36654e9be08671
https://www.agisoft.com/forum/index.php?topic=6074.msg29487#msg29487	SUBMITTED	spn2-6a598caf3001068bee5a949013da7ed6b3b435bb
https://www.agisoft.com/forum/index.php?topic=6084.0	SUBMITTED	spn2-dd89c42a5ab8a1466b871cbad884007e33d13e76
https://www.agisoft.com/forum/index.php?topic=6306.msg30457#msg30457	SUBMITTED	spn2-eb33a5a26ddf22ad1aadc2ce13ac3d0f0c381541
https://www.agisoft.com/forum/index.php?topic=8054.msg38480#msg38480	SUBMITTED	spn2-23b4dd6caa9e3a52e1a126d19de832b51d12183b
https://www.agisoft.com/forum/index.php?topic=8306.msg41134#msg41134	SUBMITTED	spn2-c92f11928fa25d11425df25e45c75063d05295b6
https://www.agisoft.com/forum/index.php?topic=8444.msg40298#msg40298	SUBMITTED	spn2-3f81b7c3552228e890f7e1b9fa5b4a60e5b97491
https://www.agisoft.com/forum/index.php?topic=9244.0	SUBMITTED	spn2-b4bef135c4ed749d17fe564dcea11076a0d57781
https://www.agisoft.com/forum/index.php?topic=9244.msg43493#msg43493	SUBMITTED	spn2-3109de721ba8d6c3c02933c9c097ff44b20e758f
