original	verdict	wayback
https://www.agisoft.com/forum/index.php?topic=16015.0	NOCAP	
https://www.agisoft.com/forum/index.php?topic=16091.0	GOOD	https://web.archive.org/web/20260925151242/https://www.agisoft.com/forum/index.php?topic=16091.0
https://www.agisoft.com/forum/index.php?topic=16518.0	GOOD	https://web.archive.org/web/20260925151315/https://www.agisoft.com/forum/index.php?topic=16518.0
https://www.agisoft.com/forum/index.php?topic=17024.0	GOOD	https://web.archive.org/web/20260925151254/https://www.agisoft.com/forum/index.php?topic=17024.0
https://www.agisoft.com/forum/index.php?topic=17361.0	GOOD	https://web.archive.org/web/20260925151326/https://www.agisoft.com/forum/index.php?topic=17361.0
https://www.agisoft.com/forum/index.php?topic=3325.0	GOOD	https://web.archive.org/web/20260925151400/https://www.agisoft.com/forum/index.php?topic=3325.0
https://www.agisoft.com/forum/index.php?topic=5144.0	GOOD	https://web.archive.org/web/20260925151428/https://www.agisoft.com/forum/index.php?topic=5144.0
https://www.agisoft.com/forum/index.php?topic=5322.0	GOOD	https://web.archive.org/web/20260925151500/https://www.agisoft.com/forum/index.php?topic=5322.0
https://www.agisoft.com/forum/index.php?topic=600.0	GOOD	https://web.archive.org/web/20260925151528/https://www.agisoft.com/forum/index.php?topic=600.0
https://www.agisoft.com/forum/index.php?topic=8306.0	GOOD	https://web.archive.org/web/20260925151600/https://www.agisoft.com/forum/index.php?topic=8306.0
https://www.agisoft.com/forum/index.php?topic=9244.0	GOOD	https://web.archive.org/web/20260925131705/https://www.agisoft.com/forum/index.php?topic=9244.0
https://www.agisoft.com/forum/index.php?topic=9565.0	GOOD	https://web.archive.org/web/20260925151704/https://www.agisoft.com/forum/index.php?topic=9565.0
https://www.agisoft.com/forum/index.php?topic=9910.0	GOOD	https://web.archive.org/web/20260925151733/https://www.agisoft.com/forum/index.php?topic=9910.0
